horizon,arm,origin,seed,val_RMSE,test_RMSE,test_MAE,pers_RMSE,pers_MAE,elapsed
6,direct,0.6,2,75.24380493164062,101.0838623046875,55.67522048950195,69.12430572509766,34.38666534423828,51.5
6,direct,0.6,0,78.80586242675781,139.76004028320312,76.49014282226562,69.12430572509766,34.38666534423828,85.4
6,physics,0.6,1,57.37928771972656,77.34073638916016,41.8538818359375,69.12430572509766,34.38666534423828,123.1
6,physics,0.6,2,57.08753967285156,79.48643493652344,43.36806106567383,69.12430572509766,34.38666534423828,128.4
6,direct,0.65,2,100.26284790039062,25.79176902770996,19.73275375366211,14.964863777160645,6.628571510314941,54.4
6,physics,0.65,1,70.49012756347656,18.203739166259766,8.751962661743164,14.964863777160645,6.628571510314941,111.0
6,physics,0.65,2,72.0763168334961,18.30475425720215,8.892145156860352,14.964863777160645,6.628571510314941,112.6
6,direct,0.65,1,89.19607543945312,27.324769973754883,16.92897605895996,14.964863777160645,6.628571510314941,90.6
6,physics,0.65,0,67.19245147705078,15.02426528930664,6.736293792724609,14.964863777160645,6.628571510314941,149.7
6,direct,0.7,0,24.987165451049805,35.385528564453125,19.826345443725586,20.015073776245117,7.623456954956055,34.8
6,direct,0.65,0,88.86387634277344,29.753862380981445,15.895102500915527,14.964863777160645,6.628571510314941,184.0
6,direct,0.7,1,22.62080955505371,33.63335418701172,14.94306468963623,20.015073776245117,7.623456954956055,66.4
6,physics,0.7,2,15.527684211730957,26.555377960205078,9.245306968688965,20.015073776245117,7.623456954956055,100.8
6,direct,0.7,2,24.04248809814453,34.28875732421875,17.519121170043945,20.015073776245117,7.623456954956055,64.1
6,direct,0.75,0,34.76432800292969,30.630802154541016,18.405981063842773,33.30018997192383,13.91529369354248,32.5
6,physics,0.7,0,15.061453819274902,19.435394287109375,7.350436210632324,20.015073776245117,7.623456954956055,157.1
6,physics,0.7,1,15.106005668640137,19.617963790893555,7.394418716430664,20.015073776245117,7.623456954956055,196.9
6,direct,0.75,1,32.14653778076172,31.148855209350586,16.308021545410156,33.30018997192383,13.91529369354248,74.4
6,direct,0.75,2,32.54540252685547,30.662485122680664,16.7158203125,33.30018997192383,13.91529369354248,70.8
6,physics,0.75,0,19.75261878967285,31.191797256469727,13.668890953063965,33.30018997192383,13.91529369354248,160.6
6,physics,0.8,1,29.770370483398438,27.081357955932617,16.208728790283203,23.34436798095703,14.36296272277832,86.5
6,physics,0.8,2,30.03537368774414,25.040363311767578,15.26555347442627,23.34436798095703,14.36296272277832,105.3
6,direct,0.8,0,28.62388038635254,36.41130828857422,19.738624572753906,23.34436798095703,14.36296272277832,94.1
6,physics,0.75,1,19.633148193359375,31.790382385253906,13.781785011291504,33.30018997192383,13.91529369354248,247.8
6,physics,0.8,0,29.862483978271484,22.67091941833496,14.169903755187988,23.34436798095703,14.36296272277832,150.2
6,direct,0.8,1,29.17336654663086,27.576719284057617,17.4879207611084,23.34436798095703,14.36296272277832,51.6
6,physics,0.75,2,19.620635986328125,32.67242431640625,14.07610034942627,33.30018997192383,13.91529369354248,254.9
6,direct,0.8,2,28.68202018737793,30.14735221862793,18.567628860473633,23.34436798095703,14.36296272277832,50.4
