arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,cap_c,damp_alpha
waning_52w,0.8,1,28.329599380493164,21.122339248657227,12.728288650512695,1.046053171157837,21.96774673461914,12.876190185546875,90.4,,
waning_52w,0.8,2,28.379722595214844,21.51744842529297,12.899749755859375,1.3628721237182617,21.96774673461914,12.876190185546875,100.4,,
waning_52w,0.85,0,22.106904983520508,30.658952713012695,14.938810348510742,-2.5379204750061035,30.963665008544922,15.473650932312012,113.4,,
waning_52w,0.85,1,22.04804229736328,30.67705726623535,14.905097007751465,-2.4610705375671387,30.963665008544922,15.473650932312012,116.5,,
waning_52w,0.9,0,29.587417602539062,32.00900650024414,16.69251823425293,-0.48287394642829895,32.859073638916016,17.084285736083984,127.4,,
waning_52w,0.9,1,29.57575798034668,31.983854293823242,16.662174224853516,-0.6279659271240234,32.859073638916016,17.084285736083984,128.0,,
waning_52w,0.85,2,22.321496963500977,30.691436767578125,15.05830192565918,-1.7309812307357788,30.963665008544922,15.473650932312012,160.2,,
waning_52w,0.9,2,29.632444381713867,32.07765197753906,16.816808700561523,-0.11189061403274536,32.859073638916016,17.084285736083984,128.2,,
waning_104w,0.5,1,25.783344268798828,24.52757453918457,12.527247428894043,-6.807840347290039,20.270668029785156,11.64380931854248,79.6,,
waning_104w,0.55,0,23.138315200805664,48.29075622558594,23.792024612426758,-0.8125181198120117,45.49281311035156,22.0325927734375,55.9,,
waning_104w,0.5,0,25.615217208862305,24.30664825439453,12.446995735168457,-7.496476650238037,20.270668029785156,11.64380931854248,98.6,,
waning_104w,0.5,2,25.735010147094727,24.603469848632812,12.533370018005371,-7.14348840713501,20.270668029785156,11.64380931854248,72.6,,
waning_104w,0.55,1,23.068973541259766,48.1275634765625,23.74138069152832,-0.6469570994377136,45.49281311035156,22.0325927734375,54.2,,
waning_104w,0.55,2,23.096895217895508,48.230648040771484,23.756677627563477,-0.7996566295623779,45.49281311035156,22.0325927734375,55.3,,
waning_104w,0.6,0,46.146236419677734,56.28371047973633,29.692773818969727,18.498567581176758,48.71405792236328,23.578571319580078,61.3,,
waning_104w,0.6,2,46.12767791748047,59.5850944519043,31.741518020629883,21.359651565551758,48.71405792236328,23.578571319580078,58.4,,
waning_104w,0.6,1,45.952205657958984,56.82764434814453,29.962888717651367,18.80859375,48.71405792236328,23.578571319580078,61.4,,
waning_104w,0.65,1,48.440738677978516,11.98469066619873,5.292006492614746,-0.13263143599033356,11.340509414672852,5.244285583496094,93.2,,
