arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,damp_alpha
oracle_w52,0.6,1,41.11509704589844,62.7772216796875,32.97198486328125,23.821075439453125,48.71405792236328,23.578571319580078,37.1,
oracle_w52,0.6,2,41.30318069458008,60.1661262512207,31.848846435546875,22.48231315612793,48.71405792236328,23.578571319580078,37.6,
oracle_w52,0.65,0,48.98743438720703,11.922269821166992,5.224579811096191,-0.24538010358810425,11.340509414672852,5.244285583496094,48.7,
oracle_w52,0.65,1,48.89455795288086,11.669198989868164,5.290724277496338,0.16857515275478363,11.340509414672852,5.244285583496094,48.9,
oracle_w52,0.65,2,49.00849151611328,11.921892166137695,5.2248311042785645,-0.24507226049900055,11.340509414672852,5.244285583496094,48.1,
oracle_w52,0.5,0,25.007694244384766,20.88370704650879,12.080218315124512,1.6916899681091309,20.270668029785156,11.64380931854248,205.8,
oracle_w52,0.5,2,25.008052825927734,20.880889892578125,12.074102401733398,1.672122836112976,20.270668029785156,11.64380931854248,205.8,
oracle_w52,0.7,1,12.005204200744629,15.16961669921875,6.351762771606445,0.1210804134607315,15.7118501663208,6.584691524505615,61.1,
oracle_w52,0.75,1,15.63905143737793,29.09284019470215,11.585491180419922,-0.20404474437236786,29.548784255981445,10.929333686828613,94.0,
oracle_w52,0.8,0,28.20781898498535,20.897350311279297,12.611309051513672,0.4560660123825073,21.96774673461914,12.876190185546875,87.9,
oracle_w52,0.8,2,28.207435607910156,20.897071838378906,12.611161231994629,0.45551472902297974,21.96774673461914,12.876190185546875,98.0,
oracle_w52,0.8,1,28.010604858398438,21.014909744262695,12.666409492492676,0.7431769967079163,21.96774673461914,12.876190185546875,105.1,
oracle_w52,0.7,0,11.973997116088867,15.26202392578125,6.470441818237305,0.1412370800971985,15.7118501663208,6.584691524505615,274.9,
oracle_w52,0.85,0,21.823965072631836,30.5936279296875,14.839656829833984,-3.032867908477783,30.963665008544922,15.473650932312012,93.2,
oracle_w52,0.85,1,21.8148193359375,30.594188690185547,14.83659553527832,-3.0590991973876953,30.963665008544922,15.473650932312012,92.1,
oracle_w52,0.85,2,21.823747634887695,30.593263626098633,14.839674949645996,-3.032546281814575,30.963665008544922,15.473650932312012,92.7,
oracle_w52,0.7,2,11.750635147094727,15.174962997436523,6.424785137176514,0.04026492312550545,15.7118501663208,6.584691524505615,338.6,
oracle_w52,0.75,0,15.591463088989258,30.243600845336914,11.37743091583252,0.436654269695282,29.548784255981445,10.929333686828613,339.5,
oracle_w52,0.75,2,15.681807518005371,30.734773635864258,11.422284126281738,0.7994422316551208,29.548784255981445,10.929333686828613,362.3,
oracle_w52,0.9,1,29.51881980895996,31.880464553833008,16.545019149780273,-1.426177978515625,32.859073638916016,17.084285736083984,78.2,
oracle_w52,0.9,0,29.519227981567383,31.881540298461914,16.55514144897461,-1.363852858543396,32.859073638916016,17.084285736083984,79.0,
oracle_w52,0.9,2,29.519145965576172,31.881200790405273,16.554948806762695,-1.3664952516555786,32.859073638916016,17.084285736083984,78.8,
oracle_w52_damped,0.5,1,22.94481086730957,19.507036209106445,10.950421333312988,-2.043443202972412,20.270668029785156,11.64380931854248,65.2,0.47313040494918823
oracle_w52_damped,0.5,0,23.110836029052734,19.945293426513672,11.182888984680176,-2.099710464477539,20.270668029785156,11.64380931854248,81.1,0.453575074672699
oracle_w52_damped,0.6,0,40.868133544921875,57.50962829589844,29.211515426635742,19.41057777404785,48.71405792236328,23.578571319580078,51.5,0.49480241537094116
oracle_w52_damped,0.55,0,19.59635353088379,45.53668975830078,21.853967666625977,-11.576186180114746,45.49281311035156,22.0325927734375,63.6,0.4822750985622406
oracle_w52_damped,0.6,1,40.74430465698242,56.06405258178711,28.403039932250977,18.178876876831055,48.71405792236328,23.578571319580078,52.3,0.49265018105506897
