label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
random_forest,2,0.475,1,random_forest,0.0,nan,1.0,none,none,0,0,34,759230,48.852,3.7749,2,129.90229078766959,45.07410411641878,43.867272079416544,46.627007609035736,3.6,850
random_forest,2,0.475,1,random_forest,0.0,nan,1.0,none,none,0,0,34,759230,48.852,3.7749,3,145.90194646644161,50.02362312239759,49.948024316270974,56.965052265438054,4.88,850
random_forest,2,0.475,2,random_forest,0.0,nan,1.0,none,none,0,0,34,759086,48.571,3.5025,0,126.3978677585205,43.41507682704458,43.936747470092726,47.245603224012974,nan,2550
random_forest,2,0.475,2,random_forest,0.0,nan,1.0,none,none,0,0,34,759086,48.571,3.5025,1,98.05021060822902,34.668628818813495,38.138891902557056,38.32393122360534,1.24,850
random_forest,2,0.475,2,random_forest,0.0,nan,1.0,none,none,0,0,34,759086,48.571,3.5025,2,131.56175329897965,45.338018128205746,43.67240958877075,46.33111499856429,3.04,850
random_forest,2,0.475,2,random_forest,0.0,nan,1.0,none,none,0,0,34,759086,48.571,3.5025,3,144.937656219085,50.238583534114504,49.998940918950375,57.08176344986931,4.56,850
random_forest,3,0.55,0,random_forest,0.0,nan,1.0,none,none,0,0,34,899232,61.601,3.8946,0,23.428045852436814,12.534447158119258,52.91066705062072,56.30307095587427,nan,2550
random_forest,3,0.55,0,random_forest,0.0,nan,1.0,none,none,0,0,34,899232,61.601,3.8946,1,16.41132080583142,9.448399842136046,46.60774204772587,48.67370440606666,2.625,850
random_forest,3,0.55,0,random_forest,0.0,nan,1.0,none,none,0,0,34,899232,61.601,3.8946,2,23.21962728340992,12.686784885841258,53.06951402554264,56.510968842952714,4.25,850
random_forest,3,0.55,0,random_forest,0.0,nan,1.0,none,none,0,0,34,899232,61.601,3.8946,3,28.950603717699146,15.468156746380469,59.05474507859362,63.742738935668164,5.291666666666667,850
random_forest,3,0.55,1,random_forest,0.0,nan,1.0,none,none,0,0,34,899636,61.552,3.5616,0,22.37032244486066,12.23693585171419,52.61546921527087,55.91209245232758,nan,2550
random_forest,3,0.55,1,random_forest,0.0,nan,1.0,none,none,0,0,34,899636,61.552,3.5616,1,16.285442489378962,9.427193794250488,46.53088147831552,48.56963533154962,2.75,850
random_forest,3,0.55,1,random_forest,0.0,nan,1.0,none,none,0,0,34,899636,61.552,3.5616,2,22.23260157693935,12.282942307065515,52.821014550619125,56.02360548219379,3.375,850
random_forest,3,0.55,1,random_forest,0.0,nan,1.0,none,none,0,0,34,899636,61.552,3.5616,3,27.235817757271654,15.000671453826568,58.494511616877965,63.16065855195965,4.5,850
random_forest,3,0.55,2,random_forest,0.0,nan,1.0,none,none,0,0,34,899536,61.584,3.5347,0,22.80979082586011,12.299200485862938,52.678099555052896,56.093005328549715,nan,2550
random_forest,3,0.55,2,random_forest,0.0,nan,1.0,none,none,0,0,34,899536,61.584,3.5347,1,16.25401430791122,9.344798150518361,46.53023920720533,48.37844477084859,2.75,850
random_forest,3,0.55,2,random_forest,0.0,nan,1.0,none,none,0,0,34,899536,61.584,3.5347,2,22.766682742621644,12.447936673620168,52.88431709540483,56.454045486270154,4.25,850
random_forest,3,0.55,2,random_forest,0.0,nan,1.0,none,none,0,0,34,899536,61.584,3.5347,3,27.898832382978096,15.104866633450284,58.6197423625485,63.464745898975025,4.75,850
random_forest,4,0.625,0,random_forest,0.0,nan,1.0,none,none,0,0,34,1039876,74.122,3.8034,0,32.076147771737666,14.169854743994918,49.26673415552052,47.88481448587007,nan,2550
random_forest,4,0.625,0,random_forest,0.0,nan,1.0,none,none,0,0,34,1039876,74.122,3.8034,1,26.847313865079755,12.178990466068774,46.17564962493272,44.46731960636121,2.0416666666666665,850
random_forest,4,0.625,0,random_forest,0.0,nan,1.0,none,none,0,0,34,1039876,74.122,3.8034,2,30.241014750824345,13.808824714878027,48.99817517913899,47.56295301297111,4.333333333333333,850
random_forest,4,0.625,0,random_forest,0.0,nan,1.0,none,none,0,0,34,1039876,74.122,3.8034,3,38.09646351951024,16.521749051037958,52.626377662489865,51.62417083827793,4.083333333333333,850
random_forest,4,0.625,1,random_forest,0.0,nan,1.0,none,none,0,0,34,1040036,74.365,3.5268,0,32.02649198423788,14.115972569503036,49.24240852250543,47.71177826348792,nan,2550
random_forest,4,0.625,1,random_forest,0.0,nan,1.0,none,none,0,0,34,1040036,74.365,3.5268,1,26.904011934855813,12.113949689514497,46.02762932581589,43.918867432609645,2.5,850
random_forest,4,0.625,1,random_forest,0.0,nan,1.0,none,none,0,0,34,1040036,74.365,3.5268,2,30.028128969617395,13.771495574151768,49.081059160255805,47.50119671959134,2.875,850
random_forest,4,0.625,1,random_forest,0.0,nan,1.0,none,none,0,0,34,1040036,74.365,3.5268,3,38.09952990316967,16.462472444842845,52.618537081444586,51.71527063826278,4.458333333333333,850
random_forest,4,0.625,2,random_forest,0.0,nan,1.0,none,none,0,0,34,1040066,74.413,3.5278,0,32.22990838228003,14.146400818906578,49.384810037574994,47.780075444708494,nan,2550
