label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
X_a3tgcn,5,0.7,0,AdaptiveGCN,0.0,0.533964991569519,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,392.832,3.525,2,55.872234031306014,30.0248670901165,47.651306088061645,53.30658746690696,3.32,850
X_a3tgcn,5,0.7,0,AdaptiveGCN,0.0,0.533964991569519,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,392.832,3.525,3,71.57614351576373,38.5493501855233,58.56275785082457,80.84395235318839,3.875,850
X_a3tgcn,5,0.7,1,AdaptiveGCN,0.0,0.6527987122535706,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,111.31,1.3751,0,53.120575208732824,28.741349718547724,50.56906522968511,59.54264735570235,nan,2550
X_a3tgcn,5,0.7,1,AdaptiveGCN,0.0,0.6527987122535706,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,111.31,1.3751,1,38.91127361177057,21.152950829008102,39.70158243281344,41.391551783295334,1.28,850
X_a3tgcn,5,0.7,1,AdaptiveGCN,0.0,0.6527987122535706,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,111.31,1.3751,2,52.49272531850946,29.104436010018688,52.185220619230286,55.78336900909683,2.16,850
X_a3tgcn,5,0.7,1,AdaptiveGCN,0.0,0.6527987122535706,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,111.31,1.3751,3,64.77509634161392,35.96666231661638,59.82039263701159,81.7519912573217,3.0,850
X_a3tgcn,5,0.7,2,AdaptiveGCN,0.0,0.5418888926506042,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,314.442,2.2192,0,58.47416890693445,30.607586153269537,49.123423903091734,57.19403201433497,nan,2550
X_a3tgcn,5,0.7,2,AdaptiveGCN,0.0,0.5418888926506042,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,314.442,2.2192,1,40.484837727973535,21.78639946189312,40.48526663442344,40.71952326956744,2.4,850
X_a3tgcn,5,0.7,2,AdaptiveGCN,0.0,0.5418888926506042,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,314.442,2.2192,2,56.58525031932575,30.54409727262826,47.73764158632656,52.54218660379942,3.32,850
X_a3tgcn,5,0.7,2,AdaptiveGCN,0.0,0.5418888926506042,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,314.442,2.2192,3,73.59872722071351,39.49226172528723,59.14736348852521,78.60602791725299,5.0,850
