label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,resid_ratio,max_growth,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
C_band0.3_new2.39,5,0.7,1,AdaptiveGCN,0.0,0.6174805760383606,1.0,0.3477,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,60.124,0.6262,1,40.80796539437881,21.502524494093787,39.01376804002033,39.71024087775736,1.2,850
C_band0.3_new2.39,5,0.7,1,AdaptiveGCN,0.0,0.6174805760383606,1.0,0.3477,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,60.124,0.6262,2,56.07710567537471,29.878217659193805,45.89699813151575,49.817580655339036,3.84,850
C_band0.3_new2.39,5,0.7,1,AdaptiveGCN,0.0,0.6174805760383606,1.0,0.3477,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,60.124,0.6262,3,70.33625988694915,37.267591113628384,55.633971164717465,74.53347679838957,4.166666666666667,850
C_band0.3_new2.39,5,0.7,2,AdaptiveGCN,0.0,0.5639709234237671,1.0,0.5223,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,67.318,1.0572,0,59.04899383305783,29.506136275788624,46.538940391405944,52.51855837434858,nan,2550
C_band0.3_new2.39,5,0.7,2,AdaptiveGCN,0.0,0.5639709234237671,1.0,0.5223,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,67.318,1.0572,1,42.71596521696955,22.30111398888204,38.89762749045645,39.53150808378879,1.24,850
C_band0.3_new2.39,5,0.7,2,AdaptiveGCN,0.0,0.5639709234237671,1.0,0.5223,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,67.318,1.0572,2,58.093927907195955,29.737865655762967,45.228277064222645,47.56874448489279,3.16,850
C_band0.3_new2.39,5,0.7,2,AdaptiveGCN,0.0,0.5639709234237671,1.0,0.5223,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,67.318,1.0572,3,72.53132339883004,36.479429182720864,55.49091661953871,70.695378864481,3.9583333333333335,850
C_band0.3_new2.39,6,0.775,0,AdaptiveGCN,0.0,0.7076786756515503,1.0,0.1328,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,61.661,0.4675,0,10.726723092988905,5.325487685016466,79.8447744706706,84.92495372948652,nan,2550
C_band0.3_new2.39,6,0.775,0,AdaptiveGCN,0.0,0.7076786756515503,1.0,0.1328,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,61.661,0.4675,1,8.323372925725112,4.300127668878584,71.2435884996462,67.91351405517817,2.5714285714285716,850
C_band0.3_new2.39,6,0.775,0,AdaptiveGCN,0.0,0.7076786756515503,1.0,0.1328,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,61.661,0.4675,2,10.506378866551833,5.2936373788822335,80.90138668894554,85.39401925232436,4.0,850
C_band0.3_new2.39,6,0.775,0,AdaptiveGCN,0.0,0.7076786756515503,1.0,0.1328,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,61.661,0.4675,3,12.865660931050668,6.382698007288581,87.38934822342007,101.52298546458489,4.642857142857143,850
C_band0.3_new2.39,6,0.775,1,AdaptiveGCN,0.0,0.5864567756652832,1.0,0.253,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,71.316,1.0992,0,11.943697982492111,5.928852557173734,94.48569940439722,96.53688558402297,nan,2550
C_band0.3_new2.39,6,0.775,1,AdaptiveGCN,0.0,0.5864567756652832,1.0,0.253,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,71.316,1.0992,1,9.106817885412593,4.728744816117755,92.40333069413971,76.3383481899714,3.357142857142857,850
