label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
X_gat_h1,5,0.7,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,54.837,1.4482,3,68.02481624278799,35.49245793389047,55.76123859930227,77.7296304938304,3.0,850
X_gat_h1,6,0.775,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,65.112,1.349,0,11.973946265555519,5.991695712653683,93.95992929550651,96.53700936221713,nan,2550
X_gat_h1,6,0.775,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,65.112,1.349,1,9.025981250488515,4.663139497510924,87.48857763738869,74.48096787568032,3.357142857142857,850
X_gat_h1,6,0.775,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,65.112,1.349,2,11.978985606328916,6.021376075203366,95.65697293376286,97.9236489034827,4.0,850
X_gat_h1,6,0.775,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,65.112,1.349,3,14.323467939728399,7.290571565246758,98.73423731536802,117.2834014487878,4.642857142857143,850
X_gat_h1,6,0.775,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,61.132,1.4618,0,11.827436678645332,5.830453534868452,92.06334868262672,95.94849324546476,nan,2550
X_gat_h1,6,0.775,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,61.132,1.4618,1,9.209002400948064,4.65951947517693,87.31749947861147,75.45671039034917,3.9285714285714284,850
X_gat_h1,6,0.775,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,61.132,1.4618,2,11.416671940679525,5.778258925288477,93.32580374986891,95.98854351289164,6.714285714285714,850
X_gat_h1,6,0.775,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,61.132,1.4618,3,14.301001774013184,7.053582204139949,95.54674281939978,116.46401461885884,7.5,850
X_gat_h1,6,0.775,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,61.382,1.408,0,10.929754943381415,5.411765738026075,88.52800563598936,87.99741363467317,nan,2550
