label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,horizon,rmse,mae,smape,mape,peak_week_err,n_obs,config,use_adaptive,hidden,epochs
adaptive,2,0.7,2,AdaptiveGCN,0.0,0.5639709234237671,68,0,42.55961555945583,17.58950444340113,67.33294821775127,69.36416317382053,nan,5100,adaptive,True,64,120
adaptive,3,0.85,0,AdaptiveGCN,0.0,0.7578955292701721,68,1,65.93931724743997,15.059630987885013,76.91792483032546,246.31628310237846,1.0,1700,adaptive,True,64,120
adaptive,3,0.85,0,AdaptiveGCN,0.0,0.7578955292701721,68,2,64.52817011149163,15.858316538453968,79.83167683309594,196.11843250500308,4.16,1700,adaptive,True,64,120
adaptive,3,0.85,0,AdaptiveGCN,0.0,0.7578955292701721,68,3,65.09348395063638,17.491226721371195,86.97900957169938,271.78481956126797,5.4,1700,adaptive,True,64,120
adaptive,3,0.85,0,AdaptiveGCN,0.0,0.7578955292701721,68,0,65.18956958958974,16.13639141590339,81.24287041170692,238.10108363265704,nan,5100,adaptive,True,64,120
adaptive,3,0.85,1,AdaptiveGCN,0.0,0.7554380893707275,68,1,66.45560504632178,15.19557058607733,86.02002516014572,251.35518708136738,1.0,1700,adaptive,True,64,120
adaptive,3,0.85,1,AdaptiveGCN,0.0,0.7554380893707275,68,2,68.05415102350402,16.53290345710656,87.00493269700542,215.4920347480372,2.0,1700,adaptive,True,64,120
adaptive,3,0.85,1,AdaptiveGCN,0.0,0.7554380893707275,68,3,66.07124588821723,17.688125568309058,89.46295681004425,279.9855695508525,5.32,1700,adaptive,True,64,120
adaptive,3,0.85,1,AdaptiveGCN,0.0,0.7554380893707275,68,0,66.86584690463901,16.47219987049765,87.49597155573178,248.97723965777226,nan,5100,adaptive,True,64,120
adaptive,3,0.85,2,AdaptiveGCN,0.0,0.663027822971344,68,1,63.9911097804675,14.822051469760071,79.22662548618385,234.5326553279956,3.4,1700,adaptive,True,64,120
adaptive,3,0.85,2,AdaptiveGCN,0.0,0.663027822971344,68,2,63.35066781761304,15.823275299983909,86.25786232728426,192.80934294757483,4.16,1700,adaptive,True,64,120
adaptive,3,0.85,2,AdaptiveGCN,0.0,0.663027822971344,68,3,63.170042826634365,17.348984703478795,91.73479306636564,258.2268772854493,5.52,1700,adaptive,True,64,120
