label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
mech_band1.5,3,0.55,0,AdaptiveGCN,0.0,0.7572552561759949,34,7032,34.543,0.6815,0,22.157198681784728,12.244765715424483,56.22826882918503,62.74150549964338,nan,2550
mech_band1.5,3,0.55,0,AdaptiveGCN,0.0,0.7572552561759949,34,7032,34.543,0.6815,1,16.76401005230105,9.751564110868117,50.3862909443835,55.32086795539073,1.3333333333333333,850
mech_band1.5,3,0.55,0,AdaptiveGCN,0.0,0.7572552561759949,34,7032,34.543,0.6815,2,20.84040285900206,11.713466830253601,57.024347290062,62.530861323780314,2.6666666666666665,850
mech_band1.5,3,0.55,0,AdaptiveGCN,0.0,0.7572552561759949,34,7032,34.543,0.6815,3,27.522171715057233,15.26926620515173,61.274168253109615,70.39098784764832,3.6666666666666665,850
mech_band1.5,3,0.55,1,AdaptiveGCN,0.0,0.7430768013000488,34,7032,35.104,0.7121,0,23.41203175499655,12.728127842015386,56.848814639935476,64.05780277418593,nan,2550
mech_band1.5,3,0.55,1,AdaptiveGCN,0.0,0.7430768013000488,34,7032,35.104,0.7121,1,17.49064509924447,9.82521943940836,51.323103316065485,52.40061329507414,1.4583333333333333,850
mech_band1.5,3,0.55,1,AdaptiveGCN,0.0,0.7430768013000488,34,7032,35.104,0.7121,2,23.810746023638007,13.011638342168402,57.6845617523994,67.66439123871338,3.5416666666666665,850
mech_band1.5,3,0.55,1,AdaptiveGCN,0.0,0.7430768013000488,34,7032,35.104,0.7121,3,27.775806027926226,15.347525744469397,61.53877885134155,72.1322342488594,4.125,850
mech_band1.5,3,0.55,2,AdaptiveGCN,0.0,0.5733754634857178,34,7032,46.907,0.5174,0,20.85049113736145,11.429174410022691,55.59937253201912,59.11864674389389,nan,2550
mech_band1.5,3,0.55,2,AdaptiveGCN,0.0,0.5733754634857178,34,7032,46.907,0.5174,1,15.56332544048841,9.182572115798248,50.19848336220512,54.40868309244061,2.2916666666666665,850
mech_band1.5,3,0.55,2,AdaptiveGCN,0.0,0.5733754634857178,34,7032,46.907,0.5174,2,21.355895266631467,11.661602797788731,56.926912722125614,60.811685022758496,3.875,850
mech_band1.5,3,0.55,2,AdaptiveGCN,0.0,0.5733754634857178,34,7032,46.907,0.5174,3,24.61579941016905,13.44334831648109,59.672721511726635,62.14491539220693,4.708333333333333,850
mech_band1.5,4,0.625,0,AdaptiveGCN,0.0,0.6210846900939941,34,7032,53.762,0.4423,0,30.66628749653927,14.26612704879141,52.104571602850534,56.58207939131987,nan,2550
mech_band1.5,4,0.625,0,AdaptiveGCN,0.0,0.6210846900939941,34,7032,53.762,0.4423,1,27.118679694619054,12.72393170092563,50.874954214789206,54.55299754107521,2.7083333333333335,850
mech_band1.5,4,0.625,0,AdaptiveGCN,0.0,0.6210846900939941,34,7032,53.762,0.4423,2,28.367952155919273,13.580238837085883,51.217369515031166,56.73850651964661,3.3333333333333335,850
mech_band1.5,4,0.625,0,AdaptiveGCN,0.0,0.6210846900939941,34,7032,53.762,0.4423,3,35.7924582637367,16.494210608362714,54.22139107873123,58.45473411323779,3.7916666666666665,850
mech_band1.5,4,0.625,1,AdaptiveGCN,0.0,0.6802629232406616,34,7032,40.487,0.8982,0,30.716629022154642,14.398461031564603,51.816455942513706,58.83610603415157,nan,2550
mech_band1.5,4,0.625,1,AdaptiveGCN,0.0,0.6802629232406616,34,7032,40.487,0.8982,1,27.516844642541045,13.257310108428491,51.150371475222734,59.83427055384016,3.25,850
mech_band1.5,4,0.625,1,AdaptiveGCN,0.0,0.6802629232406616,34,7032,40.487,0.8982,2,28.727762810667535,13.934939029015162,51.568260930039436,60.2737481373306,4.041666666666667,850
mech_band1.5,4,0.625,1,AdaptiveGCN,0.0,0.6802629232406616,34,7032,40.487,0.8982,3,35.32807382615569,16.003133957250153,52.73073542227894,56.400299411283974,4.291666666666667,850
