arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,PICP,MPIW
DCRNN,per_horizon_heads,0.85,0,64.52938842773438,15.999221801757812,68,6,22.174224853515625,9.110862731933594,,
DCRNN,per_horizon_heads,0.85,1,66.85810852050781,16.370769500732422,68,6,22.056623458862305,9.119108200073242,,
DCRNN,per_horizon_heads,0.85,2,68.7973861694336,16.590648651123047,68,6,22.363927841186523,9.136232376098633,,
DCRNN,temporal_attention,0.55,0,27.96518325805664,13.448189735412598,68,0,27.96518325805664,13.448189735412598,,
DCRNN,temporal_attention,0.55,1,27.707683563232422,13.483210563659668,68,0,27.707683563232422,13.483210563659668,,
DCRNN,temporal_attention,0.55,2,32.559444427490234,16.345918655395508,68,0,32.559444427490234,16.345918655395508,,
DCRNN,temporal_attention,0.7,0,47.15353775024414,18.644954681396484,68,0,47.15353775024414,18.644954681396484,,
DCRNN,temporal_attention,0.7,1,42.55752944946289,17.82723617553711,68,0,42.55752944946289,17.82723617553711,,
DCRNN,temporal_attention,0.7,2,44.69575500488281,17.87155532836914,68,0,44.69575500488281,17.87155532836914,,
DCRNN,temporal_attention,0.85,0,70.40483856201172,16.75513458251953,68,6,22.187440872192383,9.078563690185547,,
DCRNN,temporal_attention,0.85,1,65.41697692871094,16.258045196533203,68,6,22.26486587524414,9.216980934143066,,
DCRNN,temporal_attention,0.85,2,67.4890365600586,16.547929763793945,68,6,22.611648559570312,9.189152717590332,,
DCRNN,huber,0.55,0,30.60910415649414,14.877389907836914,68,0,30.60910415649414,14.877389907836914,,
DCRNN,huber,0.55,1,27.676347732543945,13.64422607421875,68,0,27.676347732543945,13.64422607421875,,
DCRNN,huber,0.55,2,28.234066009521484,13.655689239501953,68,0,28.234066009521484,13.655689239501953,,
DCRNN,huber,0.7,0,41.55233383178711,17.756641387939453,68,0,41.55233383178711,17.756641387939453,,
DCRNN,huber,0.7,1,46.520992279052734,18.98248863220215,68,0,46.520992279052734,18.98248863220215,,
DCRNN,huber,0.7,2,46.430545806884766,17.98820686340332,68,0,46.430545806884766,17.98820686340332,,
DCRNN,huber,0.85,0,59.48733139038086,15.260174751281738,68,6,22.515947341918945,9.130599975585938,,
DCRNN,huber,0.85,1,63.36419677734375,15.902423858642578,68,6,22.34981346130371,9.133132934570312,,
DCRNN,huber,0.85,2,77.82624816894531,17.46570587158203,68,6,22.31192398071289,9.094420433044434,,
DCRNN,probabilistic,0.55,0,36.640689849853516,17.969512939453125,68,0,36.640689849853516,17.969512939453125,0.9984313725490196,539.6039428710938
DCRNN,probabilistic,0.55,1,29.287395477294922,14.078716278076172,68,0,29.287395477294922,14.078716278076172,0.9970588235294118,383.4795227050781
DCRNN,probabilistic,0.55,2,27.51978874206543,13.275511741638184,68,0,27.51978874206543,13.275511741638184,0.9919607843137255,262.1265563964844
DCRNN,probabilistic,0.7,0,46.86296081542969,19.006261825561523,68,0,46.86296081542969,19.006261825561523,0.957843137254902,286.4170227050781
DCRNN,probabilistic,0.7,1,41.464073181152344,17.799270629882812,68,0,41.464073181152344,17.799270629882812,0.9527450980392157,249.50955200195312
