district,covariate,lag,r
Kandy,era5_temperature_2m_mean,18,0.21559731462086784
Kandy,era5_temperature_2m_mean,19,0.16786232341853452
Kandy,era5_temperature_2m_mean,20,0.13052936661745523
Kegalle,era5_temperature_2m_mean,2,-0.05427066040624029
Kegalle,era5_temperature_2m_mean,3,-0.020360160563045484
Kegalle,era5_temperature_2m_mean,4,0.032578211775742195
Kegalle,era5_temperature_2m_mean,5,0.022265607081831323
Kegalle,era5_temperature_2m_mean,6,0.03581351764739032
Kegalle,era5_temperature_2m_mean,7,0.0764154320618537
Kegalle,era5_temperature_2m_mean,8,0.08599252741959083
Kegalle,era5_temperature_2m_mean,9,0.1159904052570952
Kegalle,era5_temperature_2m_mean,10,0.13542574407692629
Kegalle,era5_temperature_2m_mean,11,0.1382677036597895
Kegalle,era5_temperature_2m_mean,12,0.16054521808872432
Kegalle,era5_temperature_2m_mean,13,0.18119514127185582
Kegalle,era5_temperature_2m_mean,14,0.14876460860474114
Kegalle,era5_temperature_2m_mean,15,0.17593762220170456
Kegalle,era5_temperature_2m_mean,16,0.15857661120516753
Kegalle,era5_temperature_2m_mean,17,0.1443846089114039
Kegalle,era5_temperature_2m_mean,18,0.12480468582338544
Kegalle,era5_temperature_2m_mean,19,0.096329668746526
Kegalle,era5_temperature_2m_mean,20,0.057830365625042575
Kilinochchi,era5_temperature_2m_mean,2,-0.06262855021404048
Kilinochchi,era5_temperature_2m_mean,3,-0.07434367269349598
Kilinochchi,era5_temperature_2m_mean,4,-0.0799096547827257
Kilinochchi,era5_temperature_2m_mean,5,-0.06643854666519826
Kilinochchi,era5_temperature_2m_mean,6,-0.06985855186551929
Kilinochchi,era5_temperature_2m_mean,7,-0.04716619037798543
Kilinochchi,era5_temperature_2m_mean,8,-0.09062029595687111
Kilinochchi,era5_temperature_2m_mean,9,-0.0647461786894813
Kilinochchi,era5_temperature_2m_mean,10,-0.041987750254832874
Kilinochchi,era5_temperature_2m_mean,11,-0.015160062813039055
Kilinochchi,era5_temperature_2m_mean,12,-0.03300014122265324
Kilinochchi,era5_temperature_2m_mean,13,-0.01707359100405519
Kilinochchi,era5_temperature_2m_mean,14,-0.003129980192600392
Kilinochchi,era5_temperature_2m_mean,15,0.00870113240769964
Kilinochchi,era5_temperature_2m_mean,16,-0.018769003397117203
Kilinochchi,era5_temperature_2m_mean,17,-0.019255634503127703
Kilinochchi,era5_temperature_2m_mean,18,-0.034188075554889334
Kilinochchi,era5_temperature_2m_mean,19,-0.0564141594261059
Kilinochchi,era5_temperature_2m_mean,20,-0.06400547674569976
Kurunegala,era5_temperature_2m_mean,2,-0.06558000367054355
Kurunegala,era5_temperature_2m_mean,3,-0.057468246096530284
Kurunegala,era5_temperature_2m_mean,4,-0.032062933954076715
Kurunegala,era5_temperature_2m_mean,5,-0.025378501439629948
Kurunegala,era5_temperature_2m_mean,6,0.012580834245387525
Kurunegala,era5_temperature_2m_mean,7,0.03650103736535139
Kurunegala,era5_temperature_2m_mean,8,0.09099772803034391
Kurunegala,era5_temperature_2m_mean,9,0.1380929208648923
Kurunegala,era5_temperature_2m_mean,10,0.17352417155646893
Kurunegala,era5_temperature_2m_mean,11,0.2149719510140784
Kurunegala,era5_temperature_2m_mean,12,0.2633695882296922
Kurunegala,era5_temperature_2m_mean,13,0.2923380670024458
Kurunegala,era5_temperature_2m_mean,14,0.32351933759753254
Kurunegala,era5_temperature_2m_mean,15,0.33522010366423677
Kurunegala,era5_temperature_2m_mean,16,0.3137509451335394
Kurunegala,era5_temperature_2m_mean,17,0.2970760386316248
Kurunegala,era5_temperature_2m_mean,18,0.28813993053547415
Kurunegala,era5_temperature_2m_mean,19,0.23735473373998403
Kurunegala,era5_temperature_2m_mean,20,0.1886443232049339
Mannar,era5_temperature_2m_mean,2,-0.1716419899068004
Mannar,era5_temperature_2m_mean,3,-0.17556802153281847
Mannar,era5_temperature_2m_mean,4,-0.14249326977315302
Mannar,era5_temperature_2m_mean,5,-0.1422098138335134
Mannar,era5_temperature_2m_mean,6,-0.14949459858357936
Mannar,era5_temperature_2m_mean,7,-0.12928904205939837
Mannar,era5_temperature_2m_mean,8,-0.11993275973603311
Mannar,era5_temperature_2m_mean,9,-0.0761679112011625
Mannar,era5_temperature_2m_mean,10,-0.03650270129428469
Mannar,era5_temperature_2m_mean,11,-0.012368432786235275
Mannar,era5_temperature_2m_mean,12,-0.006300347870460847
Mannar,era5_temperature_2m_mean,13,0.01704364862086067
Mannar,era5_temperature_2m_mean,14,0.06513519046968191
Mannar,era5_temperature_2m_mean,15,0.07362330697126662
Mannar,era5_temperature_2m_mean,16,0.072710731526941
Mannar,era5_temperature_2m_mean,17,0.07569271635803868
Mannar,era5_temperature_2m_mean,18,0.08638167405755402
Mannar,era5_temperature_2m_mean,19,0.09636036463134043
Mannar,era5_temperature_2m_mean,20,0.08624912059992676
Matale,era5_temperature_2m_mean,2,-0.03157664834247886
Matale,era5_temperature_2m_mean,3,0.002374728506571015
Matale,era5_temperature_2m_mean,4,0.011656490861663236
Matale,era5_temperature_2m_mean,5,0.015206412510779891
Matale,era5_temperature_2m_mean,6,0.041388962143767485
Matale,era5_temperature_2m_mean,7,0.07430227202043982
Matale,era5_temperature_2m_mean,8,0.08150229382324124
Matale,era5_temperature_2m_mean,9,0.11390290752791073
Matale,era5_temperature_2m_mean,10,0.11674881967105766
Matale,era5_temperature_2m_mean,11,0.14949676907957443
Matale,era5_temperature_2m_mean,12,0.13929816546957086
Matale,era5_temperature_2m_mean,13,0.16539035126474624
Matale,era5_temperature_2m_mean,14,0.17642809292652104
Matale,era5_temperature_2m_mean,15,0.16673781601668974
Matale,era5_temperature_2m_mean,16,0.12903179448260166
Matale,era5_temperature_2m_mean,17,0.13329625714961288
Matale,era5_temperature_2m_mean,18,0.10511760760586258
Matale,era5_temperature_2m_mean,19,0.08230435174239856
Matale,era5_temperature_2m_mean,20,0.0655985430098878
Matara,era5_temperature_2m_mean,2,-0.14898112243017456
Matara,era5_temperature_2m_mean,3,-0.14707554459552116
Matara,era5_temperature_2m_mean,4,-0.1169228399813087
Matara,era5_temperature_2m_mean,5,-0.0864129291141015
Matara,era5_temperature_2m_mean,6,-0.08969794139448431
Matara,era5_temperature_2m_mean,7,-0.06040593507708897
